CATEGORY,DATE,UNITS_SOLD
CATEG-1,2021-08-17,59
CATEG-1,2020-09-19,40
CATEG-2,2021-10-26,23
CATEG-1,2021-04-27,60
CATEG-2,2021-05-05,61
CATEG-3,2018-10-18,1
CATEG-3,2021-06-26,1462
CATEG-2,2020-08-23,28
CATEG-1,2020-03-28,26
CATEG-3,2020-06-11,1373
CATEG-2,2020-01-25,3
CATEG-2,2019-10-14,3
CATEG-1,2021-05-13,32
CATEG-3,2020-11-16,3666
CATEG-3,2021-08-15,1929
CATEG-3,2021-05-05,2455
CATEG-3,2020-09-27,1169
CATEG-3,2020-02-27,697
CATEG-1,2021-06-30,46
CATEG-1,2020-03-18,29
CATEG-1,2021-06-26,33
CATEG-3,2020-10-04,1231
CATEG-1,2020-08-22,28
CATEG-2,2020-05-12,139
CATEG-3,2020-10-23,1496
CATEG-1,2021-08-18,46
CATEG-2,2020-12-03,11
CATEG-2,2021-05-13,46
CATEG-1,2020-11-15,120
CATEG-2,2020-10-16,6
CATEG-1,2019-12-01,49
CATEG-3,2019-07-31,654
CATEG-3,2019-07-23,650
CATEG-1,2019-08-12,31
CATEG-3,2020-06-05,1327
CATEG-3,2021-05-14,1918
CATEG-3,2020-02-23,525
CATEG-1,2020-08-23,39
CATEG-1,2019-06-17,22
CATEG-3,2019-06-19,561
CATEG-3,2019-09-23,679
CATEG-1,2020-11-19,126
CATEG-2,2021-06-02,39
CATEG-3,2021-08-30,2128
CATEG-1,2020-07-18,48
CATEG-3,2019-11-09,550
CATEG-3,2020-12-01,2983
CATEG-3,2020-12-15,4232
CATEG-2,2019-12-27,7
CATEG-2,2020-06-18,87
CATEG-3,2021-06-01,2381
CATEG-3,2021-06-02,2101
CATEG-2,2020-06-06,105
CATEG-2,2019-08-28,2
CATEG-2,2021-05-20,51
CATEG-2,2021-04-26,140
CATEG-1,2019-08-23,23
CATEG-1,2021-03-26,54
CATEG-3,2021-01-24,1946
CATEG-2,2018-10-16,1
CATEG-1,2021-05-29,91
CATEG-2,2020-01-26,6
CATEG-3,2019-11-08,620
CATEG-1,2020-04-17,52
CATEG-2,2019-12-06,3
CATEG-2,2019-12-08,5
CATEG-2,2020-04-02,170
CATEG-3,2021-03-03,2025
CATEG-2,2020-08-12,41
CATEG-1,2019-07-19,18
CATEG-3,2020-01-14,816
CATEG-1,2019-09-21,19
CATEG-2,2019-09-25,4
CATEG-2,2020-04-24,289
CATEG-3,2021-10-12,2128
CATEG-3,2019-07-11,571
CATEG-1,2021-02-24,73
CATEG-1,2020-02-06,20
CATEG-3,2021-10-09,1888
CATEG-1,2021-07-30,49
CATEG-2,2021-09-10,16
CATEG-1,2021-06-29,41
CATEG-2,2021-03-12,106
CATEG-2,2019-12-13,8
CATEG-3,2019-08-17,465
CATEG-3,2019-11-07,698
CATEG-3,2021-03-06,1691
CATEG-3,2019-09-26,568
CATEG-3,2021-02-18,1966
CATEG-3,2019-12-07,768
CATEG-2,2019-10-25,2
CATEG-3,2021-01-01,1562
CATEG-2,2019-06-13,8
CATEG-3,2020-06-26,1171
CATEG-3,2019-08-25,459
CATEG-2,2021-04-27,157
CATEG-1,2021-04-29,52
CATEG-1,2021-10-09,37
CATEG-2,2021-10-20,14
CATEG-3,2019-12-16,1559
CATEG-1,2021-01-11,72
CATEG-3,2019-10-21,635
CATEG-2,2019-08-26,10
CATEG-3,2019-08-20,750
CATEG-2,2019-08-06,16
CATEG-1,2021-01-27,81
CATEG-3,2021-05-17,2513
CATEG-2,2021-05-27,48
CATEG-1,2019-10-19,15
CATEG-3,2021-03-29,2055
CATEG-1,2020-02-09,23
CATEG-2,2019-09-04,7
CATEG-3,2019-11-15,1138
CATEG-3,2020-05-03,1363
CATEG-3,2020-09-04,1475
CATEG-2,2020-12-28,32
CATEG-1,2021-05-21,42
CATEG-1,2021-10-31,27
CATEG-3,2020-09-11,1418
CATEG-2,2020-09-21,10
CATEG-3,2021-04-11,1649
CATEG-1,2020-03-31,35
CATEG-1,2020-01-14,55
CATEG-3,2020-07-26,1146
CATEG-2,2021-03-13,113
CATEG-1,2020-08-21,42
CATEG-1,2020-10-20,40
CATEG-3,2021-03-31,1924
CATEG-2,2020-08-17,44
CATEG-2,2020-01-04,4
CATEG-2,2021-07-12,51
CATEG-3,2020-04-25,932
CATEG-2,2020-02-24,11
CATEG-1,2021-03-10,78
CATEG-3,2021-06-03,1935
CATEG-1,2020-01-06,52
CATEG-3,2021-05-07,2559
CATEG-2,2020-12-09,17
CATEG-1,2020-08-11,54
CATEG-3,2020-06-30,1384
CATEG-2,2021-09-24,10
CATEG-2,2020-04-12,243
CATEG-2,2019-09-01,5
CATEG-1,2020-12-05,98
CATEG-1,2020-05-30,79
CATEG-3,2020-07-12,1095
CATEG-1,2019-10-25,21
CATEG-3,2020-07-17,1541
CATEG-3,2020-05-09,1452
CATEG-2,2020-08-07,39
CATEG-3,2019-11-14,682
CATEG-2,2020-09-24,11
CATEG-1,2019-11-02,10
CATEG-2,2021-04-21,91
CATEG-3,2020-11-30,2791
CATEG-2,2021-05-12,44
CATEG-3,2021-03-12,1899
CATEG-2,2019-08-12,14
CATEG-2,2019-08-02,13
CATEG-1,2019-10-24,17
CATEG-2,2020-08-25,24
CATEG-1,2019-09-17,37
CATEG-1,2020-04-28,67
CATEG-2,2020-04-11,239
CATEG-3,2021-10-02,1911
CATEG-1,2021-09-12,37
CATEG-2,2019-10-24,4
CATEG-3,2020-12-09,2999
CATEG-2,2021-02-16,24
CATEG-2,2019-11-15,5
CATEG-2,2020-04-17,251
CATEG-3,2018-10-05,1
CATEG-3,2020-10-30,1818
CATEG-3,2020-12-07,2765
CATEG-2,2021-01-19,12
CATEG-1,2021-04-17,53
CATEG-3,2021-03-24,1865
CATEG-1,2019-08-28,25
CATEG-3,2021-04-27,2047
CATEG-2,2020-11-06,4
CATEG-3,2019-07-30,645
CATEG-1,2021-03-05,77
CATEG-2,2021-06-21,63
CATEG-3,2019-08-31,479
CATEG-2,2021-11-05,18
CATEG-3,2021-07-03,2328
CATEG-1,2020-06-28,64
CATEG-2,2020-05-23,177
CATEG-3,2018-10-19,0
CATEG-2,2019-11-21,4
CATEG-3,2020-12-30,2470
CATEG-2,2020-08-14,30
CATEG-1,2021-08-05,44
CATEG-3,2021-10-18,2621
CATEG-1,2021-05-18,49
CATEG-1,2019-07-28,14
CATEG-3,2021-08-04,2376
CATEG-1,2021-09-14,56
CATEG-3,2019-11-27,710
CATEG-1,2020-02-13,30
CATEG-3,2020-03-28,489
CATEG-3,2019-12-14,1028
CATEG-2,2019-11-09,2
CATEG-2,2021-10-07,21
CATEG-2,2021-06-16,59
CATEG-1,2019-11-26,53
CATEG-3,2020-06-01,2464
CATEG-3,2020-07-15,1536
CATEG-2,2019-06-18,17
CATEG-1,2021-04-25,44
CATEG-1,2021-04-18,46
CATEG-1,2021-04-14,46
CATEG-1,2021-05-25,86
CATEG-1,2020-09-17,55
CATEG-3,2019-06-27,490
CATEG-2,2019-10-04,2
CATEG-3,2021-04-24,1500
CATEG-2,2020-09-04,18
CATEG-1,2021-08-24,61
CATEG-1,2020-03-12,23
CATEG-1,2020-03-11,38
CATEG-1,2020-04-04,31
CATEG-1,2021-09-28,38
CATEG-2,2021-07-13,57
CATEG-3,2019-06-13,561
CATEG-3,2019-09-19,658
CATEG-3,2021-08-26,1922
CATEG-2,2021-02-11,24
CATEG-3,2018-10-29,0
CATEG-3,2020-05-05,1866
CATEG-3,2020-05-19,2054
CATEG-1,2021-02-27,65
CATEG-2,2021-10-24,9
CATEG-2,2019-09-26,9
CATEG-1,2020-03-05,33
CATEG-2,2019-11-16,4
CATEG-1,2019-12-23,72
CATEG-1,2021-10-26,46
CATEG-3,2019-10-02,621
CATEG-3,2019-06-14,520
CATEG-3,2020-03-18,604
CATEG-2,2020-01-10,2
CATEG-2,2020-03-09,11
CATEG-3,2021-06-19,1654
CATEG-1,2021-10-30,26
CATEG-1,2020-05-26,109
CATEG-2,2020-12-27,26
CATEG-2,2021-09-05,13
CATEG-2,2019-07-18,22
CATEG-3,2021-03-07,1758
CATEG-2,2020-05-02,239
CATEG-2,2019-08-29,4
CATEG-1,2021-03-17,65
CATEG-3,2020-09-02,1719
CATEG-1,2020-12-13,163
CATEG-3,2019-10-16,629
CATEG-2,2021-09-12,15
CATEG-3,2019-09-30,623
CATEG-1,2019-08-30,24
CATEG-3,2021-09-14,2390
CATEG-2,2020-09-09,19
CATEG-1,2021-09-11,42
CATEG-3,2019-08-02,551
CATEG-3,2020-01-03,782
CATEG-3,2020-02-20,686
CATEG-3,2021-03-09,1934
CATEG-2,2020-04-06,239
CATEG-1,2019-10-07,21
CATEG-3,2019-12-25,515
CATEG-2,2021-04-28,157
CATEG-1,2020-06-05,58
CATEG-1,2020-08-24,48
CATEG-2,2019-08-01,11
CATEG-1,2020-06-02,68
CATEG-2,2019-12-20,4
CATEG-2,2019-07-19,14
CATEG-2,2020-09-14,12
CATEG-1,2021-06-13,37
CATEG-1,2021-10-28,48
CATEG-1,2020-04-15,57
CATEG-2,2020-08-08,28
CATEG-2,2019-11-20,5
CATEG-1,2020-05-05,75
CATEG-2,2020-10-24,8
CATEG-2,2020-04-26,246
CATEG-1,2021-02-28,61
CATEG-2,2021-04-29,102
CATEG-2,2021-02-13,20
CATEG-1,2020-04-24,61
CATEG-2,2019-10-20,2
CATEG-2,2020-10-06,10
CATEG-2,2021-07-14,49
CATEG-1,2019-07-29,28
CATEG-2,2021-03-10,83
CATEG-3,2020-01-25,534
CATEG-2,2019-12-23,4
CATEG-3,2021-10-28,1988
CATEG-1,2020-05-23,111
